日期,年,季,月,日,年度名称,季度名称,年度季度,年季编号,月份名称,英文月份,年度月份,年月编号,年度第几日,星期编号,星期英文,年度第几周,周编号,年周,日期编码,CN节假日判断,CN节假日名称,农历日期,农历年,农历月日
2022-01-18,2022,1,1,18,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,18,星期二,Tuesday,4,W4,2022W4,20220118,否,工作日,二零二一年腊月十六 辛丑年 (牛年),二零二一年,腊月十六
2022-01-19,2022,1,1,19,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,19,星期三,Wednesday,4,W4,2022W4,20220119,否,工作日,二零二一年腊月十七 辛丑年 (牛年),二零二一年,腊月十七
2022-01-20,2022,1,1,20,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,20,星期四,Thursday,4,W4,2022W4,20220120,否,工作日,二零二一年腊月十八 辛丑年 (牛年),二零二一年,腊月十八
2022-01-21,2022,1,1,21,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,21,星期五,Friday,4,W4,2022W4,20220121,否,工作日,二零二一年腊月十九 辛丑年 (牛年),二零二一年,腊月十九
2022-01-22,2022,1,1,22,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,22,星期六,Saturday,4,W4,2022W4,20220122,是,周末,二零二一年腊月二十 辛丑年 (牛年),二零二一年,腊月二十
2022-01-23,2022,1,1,23,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,23,星期日,Sunday,4,W4,2022W4,20220123,是,周末,二零二一年腊月二十一 辛丑年 (牛年),二零二一年,腊月二十一
2022-01-24,2022,1,1,24,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,24,星期一,Monday,5,W5,2022W5,20220124,否,工作日,二零二一年腊月二十二 辛丑年 (牛年),二零二一年,腊月二十二
2022-01-25,2022,1,1,25,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,25,星期二,Tuesday,5,W5,2022W5,20220125,否,工作日,二零二一年腊月二十三 辛丑年 (牛年),二零二一年,腊月二十三
2022-01-26,2022,1,1,26,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,26,星期三,Wednesday,5,W5,2022W5,20220126,否,工作日,二零二一年腊月二十四 辛丑年 (牛年),二零二一年,腊月二十四
2022-01-27,2022,1,1,27,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,27,星期四,Thursday,5,W5,2022W5,20220127,否,工作日,二零二一年腊月二十五 辛丑年 (牛年),二零二一年,腊月二十五
2022-01-28,2022,1,1,28,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,28,星期五,Friday,5,W5,2022W5,20220128,否,工作日,二零二一年腊月二十六 辛丑年 (牛年),二零二一年,腊月二十六
2022-01-29,2022,1,1,29,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,29,星期六,Saturday,5,W5,2022W5,20220129,否,工作日,二零二一年腊月二十七 辛丑年 (牛年),二零二一年,腊月二十七
2022-01-30,2022,1,1,30,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,30,星期日,Sunday,5,W5,2022W5,20220130,否,工作日,二零二一年腊月二十八 辛丑年 (牛年),二零二一年,腊月二十八
2022-01-31,2022,1,1,31,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,31,星期一,Monday,6,W6,2022W6,20220131,是,春节,二零二一年腊月二十九 辛丑年 (牛年),二零二一年,腊月二十九
2022-02-01,2022,1,2,1,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,32,星期二,Tuesday,6,W6,2022W6,20220201,是,春节,二零二二年正月初一 壬寅年 (虎年),二零二二年,正月初一
2022-02-02,2022,1,2,2,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,33,星期三,Wednesday,6,W6,2022W6,20220202,是,春节,二零二二年正月初二 壬寅年 (虎年),二零二二年,正月初二
2022-02-03,2022,1,2,3,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,34,星期四,Thursday,6,W6,2022W6,20220203,是,春节,二零二二年正月初三 壬寅年 (虎年),二零二二年,正月初三
2022-02-04,2022,1,2,4,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,35,星期五,Friday,6,W6,2022W6,20220204,是,春节,二零二二年正月初四 壬寅年 (虎年),二零二二年,正月初四
2022-02-05,2022,1,2,5,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,36,星期六,Saturday,6,W6,2022W6,20220205,是,春节,二零二二年正月初五 壬寅年 (虎年),二零二二年,正月初五
2022-02-06,2022,1,2,6,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,37,星期日,Sunday,6,W6,2022W6,20220206,是,春节,二零二二年正月初六 壬寅年 (虎年),二零二二年,正月初六
2022-02-07,2022,1,2,7,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,38,星期一,Monday,7,W7,2022W7,20220207,否,工作日,二零二二年正月初七 壬寅年 (虎年),二零二二年,正月初七
2022-02-08,2022,1,2,8,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,39,星期二,Tuesday,7,W7,2022W7,20220208,否,工作日,二零二二年正月初八 壬寅年 (虎年),二零二二年,正月初八
2022-02-09,2022,1,2,9,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,40,星期三,Wednesday,7,W7,2022W7,20220209,否,工作日,二零二二年正月初九 壬寅年 (虎年),二零二二年,正月初九
2022-02-10,2022,1,2,10,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,41,星期四,Thursday,7,W7,2022W7,20220210,否,工作日,二零二二年正月初十 壬寅年 (虎年),二零二二年,正月初十
2022-02-11,2022,1,2,11,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,42,星期五,Friday,7,W7,2022W7,20220211,否,工作日,二零二二年正月十一 壬寅年 (虎年),二零二二年,正月十一
2022-02-12,2022,1,2,12,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,43,星期六,Saturday,7,W7,2022W7,20220212,是,周末,二零二二年正月十二 壬寅年 (虎年),二零二二年,正月十二
2022-02-13,2022,1,2,13,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,44,星期日,Sunday,7,W7,2022W7,20220213,是,周末,二零二二年正月十三 壬寅年 (虎年),二零二二年,正月十三
2022-02-14,2022,1,2,14,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,45,星期一,Monday,8,W8,2022W8,20220214,否,工作日,二零二二年正月十四 壬寅年 (虎年),二零二二年,正月十四
2022-02-15,2022,1,2,15,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,46,星期二,Tuesday,8,W8,2022W8,20220215,否,工作日,二零二二年正月十五 壬寅年 (虎年),二零二二年,正月十五
2022-02-16,2022,1,2,16,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,47,星期三,Wednesday,8,W8,2022W8,20220216,否,工作日,二零二二年正月十六 壬寅年 (虎年),二零二二年,正月十六
2022-02-17,2022,1,2,17,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,48,星期四,Thursday,8,W8,2022W8,20220217,否,工作日,二零二二年正月十七 壬寅年 (虎年),二零二二年,正月十七
2022-02-18,2022,1,2,18,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,49,星期五,Friday,8,W8,2022W8,20220218,否,工作日,二零二二年正月十八 壬寅年 (虎年),二零二二年,正月十八
2022-02-19,2022,1,2,19,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,50,星期六,Saturday,8,W8,2022W8,20220219,是,周末,二零二二年正月十九 壬寅年 (虎年),二零二二年,正月十九
2022-02-20,2022,1,2,20,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,51,星期日,Sunday,8,W8,2022W8,20220220,是,周末,二零二二年正月二十 壬寅年 (虎年),二零二二年,正月二十
2022-02-21,2022,1,2,21,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,52,星期一,Monday,9,W9,2022W9,20220221,否,工作日,二零二二年正月二十一 壬寅年 (虎年),二零二二年,正月二十一
2022-02-22,2022,1,2,22,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,53,星期二,Tuesday,9,W9,2022W9,20220222,否,工作日,二零二二年正月二十二 壬寅年 (虎年),二零二二年,正月二十二
2022-02-23,2022,1,2,23,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,54,星期三,Wednesday,9,W9,2022W9,20220223,否,工作日,二零二二年正月二十三 壬寅年 (虎年),二零二二年,正月二十三
2022-02-24,2022,1,2,24,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,55,星期四,Thursday,9,W9,2022W9,20220224,否,工作日,二零二二年正月二十四 壬寅年 (虎年),二零二二年,正月二十四
2022-02-25,2022,1,2,25,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,56,星期五,Friday,9,W9,2022W9,20220225,否,工作日,二零二二年正月二十五 壬寅年 (虎年),二零二二年,正月二十五
2022-02-26,2022,1,2,26,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,57,星期六,Saturday,9,W9,2022W9,20220226,是,周末,二零二二年正月二十六 壬寅年 (虎年),二零二二年,正月二十六
2022-02-27,2022,1,2,27,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,58,星期日,Sunday,9,W9,2022W9,20220227,是,周末,二零二二年正月二十七 壬寅年 (虎年),二零二二年,正月二十七
2022-02-28,2022,1,2,28,Y2022,Q1,Y2022Q1,20221,二月,February,202202,2,59,星期一,Monday,10,W10,2022W10,20220228,否,工作日,二零二二年正月二十八 壬寅年 (虎年),二零二二年,正月二十八
2022-03-01,2022,1,3,1,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,60,星期二,Tuesday,10,W10,2022W10,20220301,否,工作日,二零二二年正月二十九 壬寅年 (虎年),二零二二年,正月二十九
2022-03-02,2022,1,3,2,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,61,星期三,Wednesday,10,W10,2022W10,20220302,否,工作日,二零二二年正月三十 壬寅年 (虎年),二零二二年,正月三十
2022-03-03,2022,1,3,3,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,62,星期四,Thursday,10,W10,2022W10,20220303,否,工作日,二零二二年二月初一 壬寅年 (虎年),二零二二年,二月初一
2022-03-04,2022,1,3,4,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,63,星期五,Friday,10,W10,2022W10,20220304,否,工作日,二零二二年二月初二 壬寅年 (虎年),二零二二年,二月初二
2022-03-05,2022,1,3,5,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,64,星期六,Saturday,10,W10,2022W10,20220305,是,周末,二零二二年二月初三 壬寅年 (虎年),二零二二年,二月初三
2022-03-06,2022,1,3,6,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,65,星期日,Sunday,10,W10,2022W10,20220306,是,周末,二零二二年二月初四 壬寅年 (虎年),二零二二年,二月初四
2022-03-07,2022,1,3,7,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,66,星期一,Monday,11,W11,2022W11,20220307,否,工作日,二零二二年二月初五 壬寅年 (虎年),二零二二年,二月初五
2022-03-08,2022,1,3,8,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,67,星期二,Tuesday,11,W11,2022W11,20220308,否,工作日,二零二二年二月初六 壬寅年 (虎年),二零二二年,二月初六
2022-03-09,2022,1,3,9,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,68,星期三,Wednesday,11,W11,2022W11,20220309,否,工作日,二零二二年二月初七 壬寅年 (虎年),二零二二年,二月初七
2022-03-10,2022,1,3,10,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,69,星期四,Thursday,11,W11,2022W11,20220310,否,工作日,二零二二年二月初八 壬寅年 (虎年),二零二二年,二月初八
2022-03-11,2022,1,3,11,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,70,星期五,Friday,11,W11,2022W11,20220311,否,工作日,二零二二年二月初九 壬寅年 (虎年),二零二二年,二月初九
2022-03-12,2022,1,3,12,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,71,星期六,Saturday,11,W11,2022W11,20220312,是,周末,二零二二年二月初十 壬寅年 (虎年),二零二二年,二月初十
2022-03-13,2022,1,3,13,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,72,星期日,Sunday,11,W11,2022W11,20220313,是,周末,二零二二年二月十一 壬寅年 (虎年),二零二二年,二月十一
2022-03-14,2022,1,3,14,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,73,星期一,Monday,12,W12,2022W12,20220314,否,工作日,二零二二年二月十二 壬寅年 (虎年),二零二二年,二月十二
2022-03-15,2022,1,3,15,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,74,星期二,Tuesday,12,W12,2022W12,20220315,否,工作日,二零二二年二月十三 壬寅年 (虎年),二零二二年,二月十三
2022-03-16,2022,1,3,16,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,75,星期三,Wednesday,12,W12,2022W12,20220316,否,工作日,二零二二年二月十四 壬寅年 (虎年),二零二二年,二月十四
2022-03-17,2022,1,3,17,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,76,星期四,Thursday,12,W12,2022W12,20220317,否,工作日,二零二二年二月十五 壬寅年 (虎年),二零二二年,二月十五
2022-03-18,2022,1,3,18,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,77,星期五,Friday,12,W12,2022W12,20220318,否,工作日,二零二二年二月十六 壬寅年 (虎年),二零二二年,二月十六
2022-03-19,2022,1,3,19,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,78,星期六,Saturday,12,W12,2022W12,20220319,是,周末,二零二二年二月十七 壬寅年 (虎年),二零二二年,二月十七
2022-03-20,2022,1,3,20,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,79,星期日,Sunday,12,W12,2022W12,20220320,是,周末,二零二二年二月十八 壬寅年 (虎年),二零二二年,二月十八
2022-03-21,2022,1,3,21,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,80,星期一,Monday,13,W13,2022W13,20220321,否,工作日,二零二二年二月十九 壬寅年 (虎年),二零二二年,二月十九
2022-03-22,2022,1,3,22,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,81,星期二,Tuesday,13,W13,2022W13,20220322,否,工作日,二零二二年二月二十 壬寅年 (虎年),二零二二年,二月二十
2022-03-23,2022,1,3,23,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,82,星期三,Wednesday,13,W13,2022W13,20220323,否,工作日,二零二二年二月二十一 壬寅年 (虎年),二零二二年,二月二十一
2022-03-24,2022,1,3,24,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,83,星期四,Thursday,13,W13,2022W13,20220324,否,工作日,二零二二年二月二十二 壬寅年 (虎年),二零二二年,二月二十二
2022-03-25,2022,1,3,25,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,84,星期五,Friday,13,W13,2022W13,20220325,否,工作日,二零二二年二月二十三 壬寅年 (虎年),二零二二年,二月二十三
2022-03-26,2022,1,3,26,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,85,星期六,Saturday,13,W13,2022W13,20220326,是,周末,二零二二年二月二十四 壬寅年 (虎年),二零二二年,二月二十四
2022-03-27,2022,1,3,27,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,86,星期日,Sunday,13,W13,2022W13,20220327,是,周末,二零二二年二月二十五 壬寅年 (虎年),二零二二年,二月二十五
2022-03-28,2022,1,3,28,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,87,星期一,Monday,14,W14,2022W14,20220328,否,工作日,二零二二年二月二十六 壬寅年 (虎年),二零二二年,二月二十六
2022-03-29,2022,1,3,29,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,88,星期二,Tuesday,14,W14,2022W14,20220329,否,工作日,二零二二年二月二十七 壬寅年 (虎年),二零二二年,二月二十七
2022-03-30,2022,1,3,30,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,89,星期三,Wednesday,14,W14,2022W14,20220330,否,工作日,二零二二年二月二十八 壬寅年 (虎年),二零二二年,二月二十八
2022-03-31,2022,1,3,31,Y2022,Q1,Y2022Q1,20221,三月,March,202203,3,90,星期四,Thursday,14,W14,2022W14,20220331,否,工作日,二零二二年二月二十九 壬寅年 (虎年),二零二二年,二月二十九
2022-04-01,2022,2,4,1,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,91,星期五,Friday,14,W14,2022W14,20220401,否,工作日,二零二二年三月初一 壬寅年 (虎年),二零二二年,三月初一
2022-04-02,2022,2,4,2,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,92,星期六,Saturday,14,W14,2022W14,20220402,否,工作日,二零二二年三月初二 壬寅年 (虎年),二零二二年,三月初二
2022-04-03,2022,2,4,3,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,93,星期日,Sunday,14,W14,2022W14,20220403,是,清明节,二零二二年三月初三 壬寅年 (虎年),二零二二年,三月初三
2022-04-04,2022,2,4,4,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,94,星期一,Monday,15,W15,2022W15,20220404,是,清明节,二零二二年三月初四 壬寅年 (虎年),二零二二年,三月初四
2022-04-05,2022,2,4,5,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,95,星期二,Tuesday,15,W15,2022W15,20220405,是,清明节,二零二二年三月初五 壬寅年 (虎年),二零二二年,三月初五
2022-04-06,2022,2,4,6,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,96,星期三,Wednesday,15,W15,2022W15,20220406,否,工作日,二零二二年三月初六 壬寅年 (虎年),二零二二年,三月初六
2022-04-07,2022,2,4,7,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,97,星期四,Thursday,15,W15,2022W15,20220407,否,工作日,二零二二年三月初七 壬寅年 (虎年),二零二二年,三月初七
2022-04-08,2022,2,4,8,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,98,星期五,Friday,15,W15,2022W15,20220408,否,工作日,二零二二年三月初八 壬寅年 (虎年),二零二二年,三月初八
2022-04-09,2022,2,4,9,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,99,星期六,Saturday,15,W15,2022W15,20220409,是,周末,二零二二年三月初九 壬寅年 (虎年),二零二二年,三月初九
2022-04-10,2022,2,4,10,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,100,星期日,Sunday,15,W15,2022W15,20220410,是,周末,二零二二年三月初十 壬寅年 (虎年),二零二二年,三月初十
2022-04-11,2022,2,4,11,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,101,星期一,Monday,16,W16,2022W16,20220411,否,工作日,二零二二年三月十一 壬寅年 (虎年),二零二二年,三月十一
2022-04-12,2022,2,4,12,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,102,星期二,Tuesday,16,W16,2022W16,20220412,否,工作日,二零二二年三月十二 壬寅年 (虎年),二零二二年,三月十二
2022-04-13,2022,2,4,13,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,103,星期三,Wednesday,16,W16,2022W16,20220413,否,工作日,二零二二年三月十三 壬寅年 (虎年),二零二二年,三月十三
2022-04-14,2022,2,4,14,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,104,星期四,Thursday,16,W16,2022W16,20220414,否,工作日,二零二二年三月十四 壬寅年 (虎年),二零二二年,三月十四
2022-04-15,2022,2,4,15,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,105,星期五,Friday,16,W16,2022W16,20220415,否,工作日,二零二二年三月十五 壬寅年 (虎年),二零二二年,三月十五
2022-04-16,2022,2,4,16,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,106,星期六,Saturday,16,W16,2022W16,20220416,是,周末,二零二二年三月十六 壬寅年 (虎年),二零二二年,三月十六
2022-04-17,2022,2,4,17,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,107,星期日,Sunday,16,W16,2022W16,20220417,是,周末,二零二二年三月十七 壬寅年 (虎年),二零二二年,三月十七
2022-04-18,2022,2,4,18,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,108,星期一,Monday,17,W17,2022W17,20220418,否,工作日,二零二二年三月十八 壬寅年 (虎年),二零二二年,三月十八
2022-04-19,2022,2,4,19,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,109,星期二,Tuesday,17,W17,2022W17,20220419,否,工作日,二零二二年三月十九 壬寅年 (虎年),二零二二年,三月十九
2022-04-20,2022,2,4,20,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,110,星期三,Wednesday,17,W17,2022W17,20220420,否,工作日,二零二二年三月二十 壬寅年 (虎年),二零二二年,三月二十
2022-04-21,2022,2,4,21,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,111,星期四,Thursday,17,W17,2022W17,20220421,否,工作日,二零二二年三月二十一 壬寅年 (虎年),二零二二年,三月二十一
2022-04-22,2022,2,4,22,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,112,星期五,Friday,17,W17,2022W17,20220422,否,工作日,二零二二年三月二十二 壬寅年 (虎年),二零二二年,三月二十二
2022-04-23,2022,2,4,23,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,113,星期六,Saturday,17,W17,2022W17,20220423,是,周末,二零二二年三月二十三 壬寅年 (虎年),二零二二年,三月二十三
2022-04-24,2022,2,4,24,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,114,星期日,Sunday,17,W17,2022W17,20220424,否,工作日,二零二二年三月二十四 壬寅年 (虎年),二零二二年,三月二十四
2022-04-25,2022,2,4,25,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,115,星期一,Monday,18,W18,2022W18,20220425,否,工作日,二零二二年三月二十五 壬寅年 (虎年),二零二二年,三月二十五
2022-04-26,2022,2,4,26,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,116,星期二,Tuesday,18,W18,2022W18,20220426,否,工作日,二零二二年三月二十六 壬寅年 (虎年),二零二二年,三月二十六
2022-04-27,2022,2,4,27,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,117,星期三,Wednesday,18,W18,2022W18,20220427,否,工作日,二零二二年三月二十七 壬寅年 (虎年),二零二二年,三月二十七
2022-04-28,2022,2,4,28,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,118,星期四,Thursday,18,W18,2022W18,20220428,否,工作日,二零二二年三月二十八 壬寅年 (虎年),二零二二年,三月二十八
2022-04-29,2022,2,4,29,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,119,星期五,Friday,18,W18,2022W18,20220429,否,工作日,二零二二年三月二十九 壬寅年 (虎年),二零二二年,三月二十九
2022-04-30,2022,2,4,30,Y2022,Q2,Y2022Q2,20222,四月,April,202204,4,120,星期六,Saturday,18,W18,2022W18,20220430,是,劳动节,二零二二年三月三十 壬寅年 (虎年),二零二二年,三月三十
2022-05-01,2022,2,5,1,Y2022,Q2,Y2022Q2,20222,五月,May,202205,5,121,星期日,Sunday,18,W18,2022W18,20220501,是,劳动节,二零二二年四月初一 壬寅年 (虎年),二零二二年,四月初一
2022-05-02,2022,2,5,2,Y2022,Q2,Y2022Q2,20222,五月,May,202205,5,122,星期一,Monday,19,W19,2022W19,20220502,是,劳动节,二零二二年四月初二 壬寅年 (虎年),二零二二年,四月初二
2022-05-03,2022,2,5,3,Y2022,Q2,Y2022Q2,20222,五月,May,202205,5,123,星期二,Tuesday,19,W19,2022W19,20220503,是,劳动节,二零二二年四月初三 壬寅年 (虎年),二零二二年,四月初三
2022-05-04,2022,2,5,4,Y2022,Q2,Y2022Q2,20222,五月,May,202205,5,124,星期三,Wednesday,19,W19,2022W19,20220504,是,劳动节,二零二二年四月初四 壬寅年 (虎年),二零二二年,四月初四
2022-05-05,2022,2,5,5,Y2022,Q2,Y2022Q2,20222,五月,May,202205,5,125,星期四,Thursday,19,W19,2022W19,20220505,否,工作日,二零二二年四月初五 壬寅年 (虎年),二零二二年,四月初五
